n,d,time_gs,time_astar,time_dfs,time_bfs,gen_gs,gen_astar,gen_dfs,gen_bfs,exp_gs,exp_astar,exp_dfs,exp_bfs
4,11,0.1152,0.1126,0.1127,0.1125,11,11,11,11,11,11,11,11
4,12,0.1174,0.1188,0.1161,0.1166,12,12,12,12,12,12,12,12
6,27,0.1168,0.1323,0.1169,0.1194,27,27,27,27,27,27,27,27
6,30,0.1207,0.1213,0.1160,0.1172,33,33,33,33,32,32,33,33
8,49,0.1270,0.1315,0.1257,0.1355,112,132,110,132,110,132,107,132
8,53,0.1200,0.1251,0.1680,0.1799,69,87,473,588,61,81,469,588
10,78,0.1300,0.1369,0.1511,0.1635,112,117,334,353,105,111,328,353
10,81,0.1375,0.1391,1.736,2.361,103,135,13053,15543,91,125,13047,15543
12,114,0.8525,1.038,1.161,1.524,4364,5718,7505,9069,4352,5707,7495,9069
12,116,3.487,4.547,4.960,7.413,21403,28066,38152,47097,21393,28057,38143,47097
31,180,0.1956,0.1927,0.1878,0.1885,180,180,180,180,180,180,180,180
